,Value,Min_limit,Max_limit
153,925802.0,887123.8383479719,960182.1616520281
154,925766.0,887410.182862811,959846.817137189
155,925683.0,887469.0687583869,959572.9312416131
156,925674.0,887824.2949487877,959056.7050512123
157,925759.0,887923.361425818,958773.638574182
158,925704.0,886940.5730839812,959627.4269160188
159,925406.0,888138.3056838737,957921.6943161263
160,925149.0,888672.6274012391,957133.3725987609
161,924795.0,888990.0170507466,956684.9829492534
162,924632.0,889039.0049311212,956112.9950688788
163,924635.0,888521.1198252457,956419.8801747543
164,924182.0,889134.2591470315,955528.7408529685
165,923439.0,889920.8943510059,954550.1056489941
166,923341.0,890322.4127476937,953687.5872523063
167,923502.0,890380.1510354285,953515.8489645715
168,923543.0,890222.428588535,953153.571411465
169,923448.0,890113.8631034008,952935.1368965992
170,923119.0,890425.2494011867,952109.7505988133
171,922905.0,890914.0951087105,951202.9048912895
172,922692.0,891041.3030643929,950625.6969356071
173,921730.0,891193.8301481691,949633.1698518309
174,921421.0,891700.2613415383,948774.7386584617
175,921292.0,891777.7990834063,948193.2009165937
176,921142.0,891732.896052613,947742.103947387
177,920740.0,891981.197634186,946934.802365814
178,920444.0,892113.2285301059,946162.7714698941
179,920175.0,892491.3654965045,945246.6345034955
180,920040.0,892652.6657688739,944972.3342311261
181,919732.0,892975.8553151771,944220.1446848229
182,919485.0,893087.7196755426,943515.2803244574
183,919139.0,892977.4484339838,942879.5515660162
184,918794.0,892989.7684319129,942513.2315680871
185,918525.0,893391.060851751,941507.939148249
186,918295.0,893660.7266702958,940883.2733297042
187,917975.0,893489.9375899648,940774.0624100352
188,917622.0,893763.6039484532,940113.3960515468
189,917534.0,893871.999972589,939474.000027411
190,917350.0,894085.7902316495,938567.2097683505
191,916978.0,894046.898654881,937976.101345119
192,916689.0,894223.8048091161,937192.1951908839
193,916450.0,894150.3819115538,936798.6180884462
194,916086.0,894371.7598367973,936236.2401632027
195,915868.0,894404.1694949921,935692.8305050079
196,915549.0,894347.7728872073,935170.2271127927
197,915225.0,894188.5472433188,934453.4527566812
198,914990.0,894079.0231498901,934251.9768501099
199,914609.0,893936.2622613062,933761.7377386938
200,914253.0,893828.1546031248,933414.8453968752
201,914026.0,894041.4364042939,932711.5635957061
202,913699.0,893865.9356941987,932420.0643058013
203,913319.0,893648.5672572246,932235.4327427754
204,912878.0,891503.8026343761,933654.1973656239
205,912569.0,890977.5204765461,933660.4795234539
206,912048.0,892077.4120747803,931656.5879252197
207,911714.0,892472.4128449592,930542.5871550408
208,911225.0,892482.4061810147,929500.5938189853
209,910649.0,892741.4948853943,928472.5051146057
210,910336.0,892904.365240741,927664.634759259
211,909842.0,892389.2966356494,927272.7033643506
212,909386.0,892414.4882730976,926417.5117269024
213,908921.0,892593.7122649538,925214.2877350462
214,908319.0,891746.8519657819,924773.1480342181
215,907935.0,891685.4884435517,924394.5115564483
216,907607.0,891515.1561232026,923854.8438767974
217,907001.0,891248.0601368162,923141.9398631838
218,906606.0,891101.0498524036,922588.9501475964
219,906217.0,891614.2676333186,921291.7323666814
220,905766.0,891489.9627952486,920411.0372047514
221,905534.0,891559.0282379935,919747.9717620065
222,905252.0,890840.1339541066,919864.8660458934
223,904849.0,890307.007195161,919805.992804839
224,904558.0,889951.5584853782,919296.4415146218
225,904279.0,889015.2574370304,919445.7425629696
226,903991.0,889292.8954247081,918633.1045752919
227,903467.0,888669.4688917582,918436.5311082418
228,902976.0,888202.5461343784,917925.4538656216
229,902332.0,887875.2407646988,917347.7592353012
230,901780.0,887013.0567369906,917204.9432630094
231,901256.0,887364.0677500557,915935.9322499443
232,900696.0,887106.4215204477,915161.5784795523
233,900212.0,886469.1870510268,914649.8129489732
234,899637.0,885872.7667483104,913894.2332516896
235,898836.0,885503.7651900842,912861.2348099158
236,898128.0,884707.5910483366,912187.4089516634
237,897175.0,883874.9627155208,911373.0372844792
238,896523.0,883127.4207531975,910658.5792468025
239,895757.0,882545.4210411564,909521.5789588436
240,894849.0,881612.3674046261,908715.6325953739
241,893870.0,880441.0506055196,908189.9493944804
242,893022.0,879256.9931798223,907702.0068201777
243,892045.0,878553.8320179585,906408.1679820415
244,891094.0,877751.3252573243,905267.6747426757
245,889900.0,876899.386103341,903829.613896659
246,888738.0,875955.2466659445,902480.7533340555
247,887659.0,874655.5936195743,901423.4063804257
248,886585.0,873617.141946812,900311.858053188
249,885444.0,872437.2088865796,899251.7911134204
250,884616.0,871466.9452067353,898400.0547932647
251,883491.0,870247.1279062943,897391.8720937057
252,882227.0,869060.3617479225,895960.6382520775
