Time,Value
2020-06-09 9:50:00,923815
2020-06-09 9:55:00,923910
2020-06-09 10:00:00,923970
2020-06-09 10:05:00,924431
2020-06-09 10:10:00,924572
2020-06-09 10:15:00,924608
2020-06-09 10:20:00,924833
2020-06-09 10:25:00,924886
2020-06-09 10:30:00,925193
2020-06-09 10:35:00,925260
2020-06-09 10:40:00,925362
2020-06-09 10:45:00,925397
2020-06-09 10:50:00,925589
2020-06-09 10:55:00,925671
2020-06-09 11:00:00,925815
2020-06-09 11:05:00,925726
2020-06-09 11:10:00,925726
2020-06-09 11:15:00,925766
2020-06-09 11:20:00,925698
2020-06-09 11:25:00,925733
2020-06-09 11:30:00,925803
2020-06-09 11:35:00,925843
2020-06-09 11:40:00,925719
2020-06-09 11:45:00,925713
2020-06-09 11:50:00,925543
2020-06-09 11:55:00,925503
2020-06-09 12:00:00,925602
2020-06-09 12:05:00,926036
2020-06-09 12:10:00,926195
2020-06-09 12:15:00,926224
2020-06-09 12:20:00,926340
2020-06-09 12:25:00,926016
2020-06-09 12:30:00,925735
2020-06-09 12:35:00,925765
2020-06-09 12:40:00,925756
2020-06-09 12:45:00,925802
2020-06-09 12:50:00,925766
2020-06-09 12:55:00,925683
2020-06-09 13:00:00,925674
2020-06-09 13:05:00,925759
2020-06-09 13:10:00,925704
2020-06-09 13:15:00,925406
2020-06-09 13:20:00,925149
2020-06-09 13:25:00,924795
2020-06-09 13:30:00,924632
2020-06-09 13:35:00,924635
2020-06-09 13:40:00,924182
2020-06-09 13:45:00,923439
2020-06-09 13:50:00,923341
2020-06-09 13:55:00,923502
2020-06-09 14:00:00,923543
2020-06-09 14:05:00,923448
2020-06-09 14:10:00,923119
2020-06-09 14:15:00,922905
2020-06-09 14:20:00,922692
2020-06-09 14:25:00,921730
2020-06-09 14:30:00,921421
2020-06-09 14:35:00,921292
2020-06-09 14:40:00,921142
2020-06-09 14:45:00,920740
2020-06-09 14:50:00,920444
2020-06-09 14:55:00,920175
2020-06-09 15:00:00,920040
2020-06-09 15:05:00,919732
2020-06-09 15:10:00,919485
2020-06-09 15:15:00,919139
2020-06-09 15:20:00,918794
2020-06-09 15:25:00,918525
2020-06-09 15:30:00,918295
2020-06-09 15:35:00,917975
2020-06-09 15:40:00,917622
2020-06-09 15:45:00,917534
2020-06-09 15:50:00,917350
2020-06-09 15:55:00,916978
2020-06-09 16:00:00,916689
2020-06-09 16:05:00,916450
2020-06-09 16:10:00,916086
2020-06-09 16:15:00,915868
2020-06-09 16:20:00,915549
2020-06-09 16:25:00,915225
2020-06-09 16:30:00,914990
2020-06-09 16:35:00,914609
2020-06-09 16:40:00,914253
2020-06-09 16:45:00,914026
2020-06-09 16:50:00,913699
2020-06-09 16:55:00,913319
2020-06-09 17:00:00,912878
2020-06-09 17:05:00,912569
2020-06-09 17:10:00,912048
2020-06-09 17:15:00,911714
2020-06-09 17:20:00,911225
2020-06-09 17:25:00,910649
2020-06-09 17:30:00,910336
2020-06-09 17:35:00,909842
2020-06-09 17:40:00,909386
2020-06-09 17:45:00,908921
2020-06-09 17:50:00,908319
2020-06-09 17:55:00,907935
2020-06-09 18:00:00,907607
2020-06-09 18:05:00,907001
2020-06-09 18:10:00,906606
2020-06-09 18:15:00,906217
2020-06-09 18:20:00,905766
2020-06-09 18:25:00,905534
2020-06-09 18:30:00,905252
2020-06-09 18:35:00,904849
2020-06-09 18:40:00,904558
2020-06-09 18:45:00,904279
2020-06-09 18:50:00,903991
2020-06-09 18:55:00,903467
2020-06-09 19:00:00,902976
2020-06-09 19:05:00,902332
2020-06-09 19:10:00,901780
2020-06-09 19:15:00,901256
2020-06-09 19:20:00,900696
2020-06-09 19:25:00,900212
2020-06-09 19:30:00,899637
2020-06-09 19:35:00,898836
2020-06-09 19:40:00,898128
2020-06-09 19:45:00,897175
2020-06-09 19:50:00,896523
2020-06-09 19:55:00,895757
2020-06-09 20:00:00,894849
2020-06-09 20:05:00,893870
2020-06-09 20:10:00,893022
2020-06-09 20:15:00,892045
2020-06-09 20:20:00,891094
2020-06-09 20:25:00,889900
2020-06-09 20:30:00,888738
2020-06-09 20:35:00,887659
2020-06-09 20:40:00,886585
2020-06-09 20:45:00,885444
2020-06-09 20:50:00,884616
2020-06-09 20:55:00,883491
2020-06-09 21:00:00,882227
2020-06-09 21:05:00,880941
2020-06-09 21:10:00,879940
2020-06-09 21:15:00,878785
2020-06-09 21:20:00,877900
2020-06-09 21:25:00,876923
2020-06-09 21:30:00,875940
2020-06-09 21:35:00,874829
2020-06-09 21:40:00,873972
2020-06-09 21:45:00,873095
2020-06-09 21:50:00,872319
2020-06-09 21:55:00,871615
2020-06-09 22:00:00,870575
2020-06-09 22:05:00,869821
2020-06-09 22:10:00,869104
2020-06-09 22:15:00,868398
2020-06-09 22:20:00,867920
2020-06-09 22:25:00,867270
2020-06-09 22:30:00,866651
2020-06-09 22:35:00,866116
2020-06-09 22:40:00,865628
2020-06-09 22:45:00,865091
2020-06-09 22:50:00,864434
2020-06-09 22:55:00,864033
2020-06-09 23:00:00,863705
2020-06-09 23:05:00,863262
2020-06-09 23:10:00,862787
2020-06-09 23:15:00,862437
2020-06-09 23:20:00,862072
2020-06-09 23:25:00,861738
2020-06-09 23:30:00,861367
2020-06-09 23:35:00,861149
2020-06-09 23:40:00,860943
2020-06-09 23:45:00,860686
2020-06-09 23:50:00,860477
2020-06-09 23:55:00,859958
2020-06-10 0:00:00,859866
2020-06-10 0:05:00,859314
2020-06-10 0:10:00,859109
2020-06-10 0:15:00,858957
2020-06-10 0:20:00,858779
2020-06-10 0:25:00,858514
2020-06-10 0:30:00,858349
2020-06-10 0:35:00,858264
2020-06-10 0:40:00,858061
2020-06-10 0:45:00,857429
2020-06-10 0:50:00,857285
2020-06-10 0:55:00,857284
2020-06-10 1:00:00,857168
2020-06-10 1:05:00,857087
2020-06-10 1:10:00,857054
2020-06-10 1:15:00,856892
2020-06-10 1:20:00,856811
2020-06-10 1:25:00,856693
2020-06-10 1:30:00,856603
2020-06-10 1:35:00,856565
2020-06-10 1:40:00,856527
2020-06-10 1:45:00,856564
2020-06-10 1:50:00,856527
2020-06-10 1:55:00,856453
2020-06-10 2:00:00,856481
2020-06-10 2:05:00,856505
2020-06-10 2:10:00,856536
2020-06-10 2:15:00,856588
2020-06-10 2:20:00,856725
2020-06-10 2:25:00,856890
2020-06-10 2:30:00,857128
2020-06-10 2:35:00,857380
2020-06-10 2:40:00,857574
2020-06-10 2:45:00,857868
2020-06-10 2:50:00,858237
2020-06-10 2:55:00,858700
2020-06-10 3:00:00,859231
2020-06-10 3:05:00,859862
2020-06-10 3:10:00,860356
2020-06-10 3:15:00,861038
2020-06-10 3:20:00,861712
2020-06-10 3:25:00,862344
2020-06-10 3:30:00,863143
2020-06-10 3:35:00,863860
2020-06-10 3:40:00,864535
2020-06-10 3:45:00,865303
2020-06-10 3:50:00,866186
2020-06-10 3:55:00,866997
2020-06-10 4:00:00,868003
2020-06-10 4:05:00,869095
2020-06-10 4:10:00,870029
2020-06-10 4:15:00,871213
2020-06-10 4:20:00,872305
2020-06-10 4:25:00,873418
2020-06-10 4:30:00,874778
2020-06-10 4:35:00,876100
2020-06-10 4:40:00,877373
