,Time,Value,Min_limit,Max_limit
147,2020-06-12 21:20:00,893741.0,864910.7503702202,891415.2496297798
148,2020-06-12 21:25:00,892959.0,863778.8738568889,890556.1261431111
149,2020-06-12 21:30:00,892196.0,862923.1926783746,889325.8073216254
150,2020-06-12 21:35:00,891469.0,861811.3530846182,888207.6469153818
151,2020-06-12 21:40:00,890539.0,860560.6802337554,887693.3197662446
152,2020-06-12 21:45:00,889451.0,860095.1281110212,886417.8718889788
153,2020-06-12 21:50:00,888334.0,859284.0208365199,885571.9791634801
154,2020-06-12 21:55:00,887127.0,858481.4561022489,884906.5438977511
155,2020-06-12 22:00:00,885544.0,857536.4066533042,883825.5933466958
156,2020-06-12 22:05:00,883707.0,856717.0528060149,882982.9471939851
157,2020-06-13 19:30:00,913943.0,885872.7667483104,913894.2332516896
158,2020-06-13 19:35:00,913500.0,885503.7651900842,912861.2348099158
159,2020-06-13 19:40:00,912924.0,884707.5910483366,912187.4089516634
160,2020-06-13 19:45:00,912255.0,883874.9627155208,911373.0372844792
161,2020-06-13 19:50:00,911646.0,883127.4207531975,910658.5792468025
162,2020-06-13 19:55:00,911057.0,882545.4210411564,909521.5789588436
163,2020-06-13 20:00:00,910119.0,881612.3674046261,908715.6325953739
164,2020-06-13 20:05:00,909283.0,880441.0506055196,908189.9493944804
165,2020-06-13 20:10:00,908480.0,879256.9931798223,907702.0068201777
166,2020-06-13 20:15:00,907580.0,878553.8320179585,906408.1679820415
167,2020-06-13 20:20:00,906842.0,877751.3252573243,905267.6747426757
168,2020-06-13 20:25:00,905821.0,876899.386103341,903829.613896659
169,2020-06-13 20:30:00,904803.0,875955.2466659445,902480.7533340555
170,2020-06-13 20:35:00,903775.0,874655.5936195743,901423.4063804257
171,2020-06-13 20:40:00,902928.0,873617.141946812,900311.858053188
172,2020-06-13 20:45:00,901960.0,872437.2088865796,899251.7911134204
173,2020-06-13 20:50:00,900761.0,871466.9452067353,898400.0547932647
174,2020-06-13 20:55:00,899709.0,870247.1279062943,897391.8720937057
175,2020-06-13 21:00:00,898508.0,869060.3617479225,895960.6382520775
176,2020-06-13 21:05:00,897147.0,867925.9644664816,894605.0355335184
177,2020-06-13 21:10:00,895996.0,866992.1670577455,893485.8329422545
178,2020-06-13 21:15:00,894882.0,865714.5444110461,892436.4555889539
179,2020-06-13 21:20:00,893824.0,864910.7503702202,891415.2496297798
180,2020-06-13 21:25:00,892552.0,863778.8738568889,890556.1261431111
181,2020-06-13 21:30:00,891348.0,862923.1926783746,889325.8073216254
182,2020-06-13 21:35:00,890307.0,861811.3530846182,888207.6469153818
183,2020-06-13 21:40:00,889300.0,860560.6802337554,887693.3197662446
184,2020-06-13 21:45:00,888402.0,860095.1281110212,886417.8718889788
185,2020-06-13 21:50:00,887405.0,859284.0208365199,885571.9791634801
186,2020-06-13 21:55:00,886429.0,858481.4561022489,884906.5438977511
187,2020-06-13 22:00:00,885195.0,857536.4066533042,883825.5933466958
188,2020-06-13 22:05:00,884077.0,856717.0528060149,882982.9471939851
189,2020-06-13 22:10:00,883203.0,856134.1335194649,882017.8664805351
190,2020-06-13 22:15:00,882365.0,855258.347456576,881493.652543424
191,2020-06-13 22:20:00,881473.0,854664.6638353716,880997.3361646284
192,2020-06-13 22:25:00,880579.0,854256.1217991787,880025.8782008213
193,2020-06-13 22:30:00,879822.0,853535.6477708542,879589.3522291458
194,2020-06-13 22:40:00,878264.0,852851.7846519742,878191.2153480258
195,2020-06-15 18:15:00,922044.0,891614.2676333186,921291.7323666814
196,2020-06-15 18:20:00,921621.0,891489.9627952486,920411.0372047514
197,2020-06-15 18:25:00,921068.0,891559.0282379935,919747.9717620065
198,2020-06-15 18:30:00,920507.0,890840.1339541066,919864.8660458934
199,2020-06-15 18:35:00,920635.0,890307.007195161,919805.992804839
200,2020-06-15 18:40:00,920260.0,889951.5584853782,919296.4415146218
201,2020-06-15 18:45:00,919999.0,889015.2574370304,919445.7425629696
202,2020-06-15 18:50:00,919541.0,889292.8954247081,918633.1045752919
203,2020-06-15 18:55:00,919197.0,888669.4688917582,918436.5311082418
204,2020-06-15 19:00:00,918800.0,888202.5461343784,917925.4538656216
205,2020-06-15 19:05:00,918320.0,887875.2407646988,917347.7592353012
206,2020-06-15 19:10:00,917935.0,887013.0567369906,917204.9432630094
207,2020-06-15 19:15:00,917368.0,887364.0677500557,915935.9322499443
208,2020-06-15 19:20:00,916798.0,887106.4215204477,915161.5784795523
209,2020-06-15 19:25:00,916292.0,886469.1870510268,914649.8129489732
210,2020-06-15 19:30:00,915606.0,885872.7667483104,913894.2332516896
211,2020-06-15 19:35:00,915056.0,885503.7651900842,912861.2348099158
212,2020-06-15 19:40:00,914320.0,884707.5910483366,912187.4089516634
213,2020-06-15 19:45:00,913482.0,883874.9627155208,911373.0372844792
214,2020-06-15 19:50:00,912751.0,883127.4207531975,910658.5792468025
215,2020-06-15 19:55:00,912109.0,882545.4210411564,909521.5789588436
216,2020-06-15 20:00:00,911194.0,881612.3674046261,908715.6325953739
217,2020-06-15 20:05:00,910356.0,880441.0506055196,908189.9493944804
218,2020-06-15 20:10:00,909532.0,879256.9931798223,907702.0068201777
219,2020-06-15 20:15:00,908450.0,878553.8320179585,906408.1679820415
220,2020-06-15 20:20:00,907393.0,877751.3252573243,905267.6747426757
221,2020-06-15 20:25:00,906274.0,876899.386103341,903829.613896659
222,2020-06-15 20:30:00,905070.0,875955.2466659445,902480.7533340555
223,2020-06-15 20:35:00,903858.0,874655.5936195743,901423.4063804257
224,2020-06-15 20:40:00,902761.0,873617.141946812,900311.858053188
225,2020-06-15 20:45:00,901121.0,872437.2088865796,899251.7911134204
226,2020-06-15 20:50:00,899971.0,871466.9452067353,898400.0547932647
227,2020-06-15 20:55:00,898999.0,870247.1279062943,897391.8720937057
228,2020-06-15 21:00:00,897783.0,869060.3617479225,895960.6382520775
229,2020-06-15 21:05:00,896696.0,867925.9644664816,894605.0355335184
230,2020-06-15 21:10:00,895800.0,866992.1670577455,893485.8329422545
231,2020-06-15 21:15:00,894760.0,865714.5444110461,892436.4555889539
232,2020-06-15 21:20:00,893842.0,864910.7503702202,891415.2496297798
233,2020-06-15 21:25:00,892829.0,863778.8738568889,890556.1261431111
234,2020-06-15 21:30:00,891813.0,862923.1926783746,889325.8073216254
235,2020-06-15 21:35:00,890742.0,861811.3530846182,888207.6469153818
236,2020-06-15 21:40:00,889916.0,860560.6802337554,887693.3197662446
237,2020-06-15 21:45:00,888357.0,860095.1281110212,886417.8718889788
238,2020-06-15 21:50:00,887556.0,859284.0208365199,885571.9791634801
239,2020-06-15 21:55:00,886684.0,858481.4561022489,884906.5438977511
240,2020-06-15 22:00:00,885706.0,857536.4066533042,883825.5933466958
241,2020-06-15 22:05:00,884810.0,856717.0528060149,882982.9471939851
242,2020-06-15 22:10:00,884019.0,856134.1335194649,882017.8664805351
243,2020-06-15 22:15:00,883119.0,855258.347456576,881493.652543424
244,2020-06-15 22:20:00,882416.0,854664.6638353716,880997.3361646284
245,2020-06-15 22:25:00,881767.0,854256.1217991787,880025.8782008213
246,2020-06-15 22:30:00,881233.0,853535.6477708542,879589.3522291458
247,2020-06-15 22:35:00,880576.0,853093.0305697443,879000.9694302557
248,2020-06-15 22:40:00,879630.0,852851.7846519742,878191.2153480258
249,2020-06-15 22:45:00,879183.0,852416.0446489753,877550.9553510247
250,2020-06-15 22:50:00,878651.0,852070.2857522184,876818.7142477816
251,2020-06-15 22:55:00,878270.0,851621.6857220026,876454.3142779974
252,2020-06-15 23:00:00,877847.0,851162.0215995049,876069.9784004951
253,2020-06-15 23:05:00,877304.0,850664.7352486114,875624.2647513886
254,2020-06-15 23:10:00,876753.0,850295.4225064917,875097.5774935083
255,2020-06-15 23:15:00,876413.0,849937.6826216738,874785.3173783262
256,2020-06-15 23:20:00,876153.0,849643.8692001583,874340.1307998417
257,2020-06-15 23:25:00,875846.0,849385.0898560219,873915.9101439781
258,2020-06-15 23:30:00,875594.0,849150.6350480559,873460.3649519441
259,2020-06-15 23:35:00,875279.0,848817.5488844914,873288.4511155086
260,2020-06-15 23:40:00,874980.0,848551.2569287437,873095.7430712563
261,2020-06-15 23:45:00,874749.0,848209.9259186713,872980.0740813287
262,2020-06-15 23:50:00,874529.0,848045.5827863656,872714.4172136344
263,2020-06-15 23:55:00,874341.0,847866.1654666795,872148.8345333205
264,2020-06-16 00:00:00,874005.0,845370.2682888798,869732.7317111202
265,2020-06-16 00:05:00,873514.0,844485.063234921,869237.936765079
266,2020-06-16 00:10:00,873302.0,844104.5037702557,869036.4962297443
267,2020-06-16 00:15:00,873001.0,843652.530154522,868897.469845478
268,2020-06-16 00:20:00,872814.0,843374.1775506531,868673.8224493469
269,2020-06-16 00:25:00,872572.0,843051.6326873858,868387.3673126142
270,2020-06-16 00:30:00,872273.0,842609.7235845742,868255.2764154258
271,2020-06-16 00:35:00,872042.0,842258.7803535708,868246.2196464292
272,2020-06-16 00:40:00,871881.0,841763.7906134984,868111.2093865016
